group_id,group_size,merge_key,FullAddress,inputGranularity,validationGranularity,geocodeGranularity,addressComplete,hasUnconfirmedComponents,hasInferredComponents,possibleNextAction,hasReplacedComponents,hasInferredComponents_detail,hasReplacedComponents_detail,confirmedComponents_detail,unconfirmedComponents_detail,fixed_formattedAddress,fixed_postalAddress_lines,fixed_postalAddress_locality,fixed_postalAddress_adminArea,fixed_postalAddress_postalCode,fixed_postalAddress_regionCode,placeId,lat,lng,http_status,invalid_reason,source_file
87968,266,W MOORPARK ST NORTH HOLLYWOOD 91602,10701 W Moorpark St North Hollywood 91602,PREMISE,PREMISE,PREMISE,,,True,CONFIRM_ADD_SUBPREMISES,,administrative_area_level_1:CA|postal_code_suffix:2778,,,,"10701 West Moorpark Street, North Hollywood, CA 91602-2778, USA",10701 W Moorpark St,North Hollywood,CA,91602-2778,US,ChIJ1ScQqiS-woARSUix2ocOM6Y,34.1508257,-118.3636882,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
87969,267,ANZA AVE TORRANCE 90503,20331 Anza Ave Torrance 90503,PREMISE,PREMISE,PREMISE,,,True,CONFIRM_ADD_SUBPREMISES,,administrative_area_level_1:CA|postal_code_suffix:2370,,,,"20331 Anza Avenue, Torrance, CA 90503-2370, USA",20331 Anza Ave,Torrance,CA,90503-2370,US,ChIJxfZwEMS0woARvKjNN9S68yo,33.8477225,-118.3629174,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
88016,271,S DR LOS ANGELES 90035,1701 S Stearns Dr Los Angeles 90035,PREMISE,PREMISE,SUB_PREMISE,,,True,CONFIRM_ADD_SUBPREMISES,,administrative_area_level_1:CA|postal_code_suffix:4638,,,,"1701 South Stearns Drive, Los Angeles, CA 90035-4638, USA",1701 S Stearns Dr,Los Angeles,CA,90035-4638,US,ChIJD4pWhG25woARX4X285YtH7U,34.0463439,-118.3730307,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
88034,273,W NORDHOFF ST NORTH HILLS 91343,15035 W Nordhoff St North Hills 91343,PREMISE,PREMISE,PREMISE,,,True,CONFIRM_ADD_SUBPREMISES,,administrative_area_level_1:CA|postal_code_suffix:5577,,,,"15035 West Nordhoff Street, North Hills, CA 91343-5577, USA",15035 W Nordhoff St,North Hills,CA,91343-5577,US,ChIJoQQR_sCQwoARSApY6zU4eIY,34.2358942,-118.460176,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
88039,274,N KESTER AVE VAN NUYS 91411,6551 N Kester Ave Van Nuys 91411,PREMISE,PREMISE,PREMISE,,,True,CONFIRM_ADD_SUBPREMISES,,administrative_area_level_1:CA|postal_code_suffix:1443,,,,"6551 North Kester Avenue, Van Nuys, CA 91411-1443, USA",6551 N Kester Ave,Van Nuys,CA,91411-1443,US,ChIJJfBmJRKXwoARux2wOdbur0A,34.1901263,-118.457845,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
88043,274,N SWEETZER AVE WEST HOLLYWOOD 90069,1200 N Sweetzer Ave West Hollywood 90069,PREMISE,PREMISE,PREMISE,,,True,CONFIRM_ADD_SUBPREMISES,,administrative_area_level_1:CA|postal_code_suffix:3086,,,,"1200 North Sweetzer Avenue, West Hollywood, CA 90069-3086, USA",1200 N Sweetzer Ave,West Hollywood,CA,90069-3086,US,ChIJE_YTpbi-woARyAi0-EzlcfU,34.0920239,-118.3701369,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
88053,275,S REDONDO BLVD LOS ANGELES 90016,2535 S Redondo Blvd Los Angeles 90016,PREMISE,PREMISE,PREMISE,,,True,CONFIRM_ADD_SUBPREMISES,,administrative_area_level_1:CA|postal_code_suffix:2648,,,,"2535 Redondo Boulevard, Los Angeles, CA 90016-2648, USA",2535 Redondo Blvd,Los Angeles,CA,90016-2648,US,ChIJyTmgFK-5woARnMMtXbF1A1M,34.0330847,-118.3563829,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
88063,276,N DALTON AVE AZUSA 91702,803 N Dalton Ave Azusa 91702,PREMISE,PREMISE,SUB_PREMISE,,,True,CONFIRM_ADD_SUBPREMISES,,administrative_area_level_1:CA|postal_code_suffix:2598,,,,"803 North Dalton Avenue, Azusa, CA 91702-2598, USA",803 N Dalton Ave,Azusa,CA,91702-2598,US,ChIJObGnnZYnw4ARCLQp9BUEdks,34.1364937,-117.9053362,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
88075,277,W LEXINGTON AVE LOS ANGELES 90038,7057 W Lexington Ave Los Angeles 90038,PREMISE,PREMISE,SUB_PREMISE,,,True,CONFIRM_ADD_SUBPREMISES,True,administrative_area_level_1:CA|postal_code_suffix:1046,locality:W Hollywood,,,"7057 West Lexington Avenue, W Hollywood, CA 90038-1046, USA",7057 W Lexington Ave,W Hollywood,CA,90038-1046,US,ChIJn3rP9Si_woARpo9b8j0opXY,34.0926666,-118.3433102,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
88076,277,W MAIN ST ALHAMBRA 91801,369 W Main St Alhambra 91801,PREMISE,PREMISE,PREMISE,,,True,CONFIRM_ADD_SUBPREMISES,,administrative_area_level_1:CA|postal_code_suffix:3483,,,,"369 West Main Street, Alhambra, CA 91801-3483, USA",369 W Main St,Alhambra,CA,91801-3483,US,ChIJa3XV3iDFwoARkwMRjEqRKYE,34.0934985,-118.1309492,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
