group_id,group_size,merge_key,FullAddress,inputGranularity,validationGranularity,geocodeGranularity,addressComplete,hasUnconfirmedComponents,hasInferredComponents,possibleNextAction,hasReplacedComponents,hasInferredComponents_detail,hasReplacedComponents_detail,confirmedComponents_detail,unconfirmedComponents_detail,fixed_formattedAddress,fixed_postalAddress_lines,fixed_postalAddress_locality,fixed_postalAddress_adminArea,fixed_postalAddress_postalCode,fixed_postalAddress_regionCode,placeId,lat,lng,http_status,invalid_reason,source_file
6052,1,A CLOUDCREST RD LA CRESCENTA 91214,3128 A Cloudcrest Rd La Crescenta 91214,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"3128 A, Cloudcrest Road, La Crescenta-Montrose, CA 91214, USA",3128 A | Cloudcrest Rd,La Crescenta-Montrose,CA,91214,US,ChIJL1Xx0qXrwoAR8PNtU2fL77E,34.2437778,-118.2462374,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6054,1,A CRENSHAW BLVD GARDENA 90249,15219 A Crenshaw Blvd Gardena 90249,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"15219 A, Crenshaw Boulevard, Gardena, CA 90249, USA",15219 A | Crenshaw Blvd,Gardena,CA,90249,US,ChIJn9qUM6O1woARsRPbD7t585I,33.8931987,-118.3267663,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6055,1,A DE GROOT PL CERRITOS 90703,17213 A De Groot Pl Cerritos 90703,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"17213 A, De Groot Place, Cerritos, CA 90703, USA",17213 A | De Groot Pl,Cerritos,CA,90703,US,ChIJK5_Vnfss3YARlIXbnlET_w8,33.8751452,-118.058553,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6056,1,A DONWAY DR WALNUT 91789,20151 A Donway Dr Walnut 91789,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"20151 A, Donway Drive, Walnut, CA 91789, USA",20151 A | Donway Dr,Walnut,CA,91789,US,ChIJeRU51xErw4ARBfyxrMLUJPE,33.9873904,-117.8627921,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6073,1,A EILEEN AVE LOS ANGELES 90043,5733 A Eileen Ave Los Angeles 90043,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"5733 A, Eileen Avenue, Los Angeles, CA 90043, USA",5733 A | Eileen Ave,Los Angeles,CA,90043,US,ChIJ-2n6Ap23woAR0lLAdrHtHOw,33.9897655,-118.3434124,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6074,1,A ELM ST LOS ANGELES 90002,8613 A Elm St Los Angeles 90002,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"8613 A, Elm Street, Los Angeles, CA 90002, USA",8613 A | Elm St,Los Angeles,CA,90002,US,ChIJrd4bUG7JwoARODvDTvHZst0,33.9595624,-118.238769,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6076,1,A EVERGREEN PL HACIENDA HEIGHTS 91745,17005 A Evergreen Pl Hacienda Heights 91745,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"17005 A, Evergreen Place, Hacienda Heights, CA 91745, USA",17005 A | Evergreen Pl,Hacienda Heights,CA,91745,US,ChIJEzJDNu3VwoART5cx0Jw3mDE,34.00032,-117.9383555,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6077,1,A FERNSIDE DR LA CANADA 91011,1221 A Fernside Dr La Canada Flintridge 91011,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"1221 A, Fernside Drive, La Cañada Flintridge, CA 91011, USA",1221 A | Fernside Dr,La Cañada Flintridge,CA,91011,US,ChIJSauFEfjpwoAReD4iLRJyhBQ,34.2097889,-118.2050306,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6078,1,A FIGUEROA DR ALTADENA 91001,841 A Figueroa Dr Altadena 91001,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"841 A, Figueroa Drive, Altadena, CA 91001, USA",841 A | Figueroa Dr,Altadena,CA,91001,US,ChIJX823pl3CwoAR77EzYxOr-40,34.187683,-118.1675703,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6079,1,A FOLSOM ST LOS ANGELES 90063,3671 A Folsom St Los Angeles 90063,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"3671 A, Folsom Street, Los Angeles, CA 90063, USA",3671 A | Folsom St,Los Angeles,CA,90063,US,ChIJVWm9XPTFwoARdwmZx-h1mgE,34.0448759,-118.1860678,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6080,1,A FRANDALE AVE LA PUENTE 91744,621 A Frandale Ave La Puente 91744,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"621 A, Frandale Avenue, La Puente, CA 91744, USA",621 A | Frandale Ave,La Puente,CA,91744,US,ChIJhY1_HAXWwoARATCtICJ0pK4,34.0300598,-117.9340861,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6081,1,A GLENADA AVE MONTROSE 91020,2155 A Glenada Ave Montrose 91020,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"2155 A, Glenada Avenue, Montrose, CA 91020, USA",2155 A | Glenada Ave,Montrose,CA,91020,US,ChIJe0HFfxHqwoARyM4E3ofP58w,34.2087855,-118.2233723,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6083,1,A HAYMAN AVE LA CANADA 91011,4362 A Hayman Ave La Canada Flintridge 91011,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"4362 A, Hayman Avenue, La Cañada Flintridge, CA 91011, USA",4362 A | Hayman Ave,La Cañada Flintridge,CA,91011,US,ChIJX6bvJ_7pwoARKmbULWVcBjs,34.2012263,-118.2021532,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6084,1,A HILLARD AVE LA CANADA 91011,4906 A Hillard Ave La Canada Flintridge 91011,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"4906 A, Hillard Avenue, La Cañada Flintridge, CA 91011, USA",4906 A | Hillard Ave,La Cañada Flintridge,CA,91011,US,ChIJtxwAgSLqwoARVODuzCHxTyk,34.2186392,-118.2148367,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6088,1,A MACE PL LOS ANGELES 90001,7302 A Mace Pl Los Angeles 90001,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"7302 A, Mace Place, Los Angeles, CA 90001, USA",7302 A | Mace Pl,Los Angeles,CA,90001,US,ChIJkYBhdQjJwoAREIIP3dpMAPc,33.9738475,-118.2510904,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6089,1,A MAIE AVE LOS ANGELES 90001,8319 a Maie Ave Los Angeles 90001,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"8319 a, Maie Avenue, Los Angeles, CA 90001, USA",8319 a | Maie Ave,Los Angeles,CA,90001,US,ChIJsXHhB3PJwoAR92fFyH9Q5zM,33.9627149,-118.2446406,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6091,1,A MAURICE AVE CERRITOS 90703,17219 A Maurice Ave Cerritos 90703,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"17219 A, Maurice Avenue, Cerritos, CA 90703, USA",17219 A | Maurice Ave,Cerritos,CA,90703,US,ChIJA-C8T_os3YARAIUJYcsn0sY,33.8751453,-118.056014,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6107,1,A NEWGARDEN ST ROWLAND HEIGHTS 91748,19575 A Newgarden St Rowland Heights 91748,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"19575 A, Newgarden Street, Rowland Heights, CA 91748, USA",19575 A | Newgarden St,Rowland Heights,CA,91748,US,ChIJnZWGEgErw4ARpjhQ8rwDmMo,33.9913366,-117.8743913,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6108,1,A NORMANDIE AVE TORRANCE 90502,19220 A Normandie Ave Torrance 90502,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"19220 A, Normandie Avenue, Torrance, CA 90502, USA",19220 A | Normandie Ave,Torrance,CA,90502,US,ChIJQ3wq3anKwoARbNIKy82PqKs,33.8557109,-118.2987402,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6109,1,A OAK ST LOMITA 90717,26016 A Oak St Lomita 90717,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"26016 A, Oak Street, Lomita, CA 90717, USA",26016 A | Oak St,Lomita,CA,90717,US,ChIJV7v1iGtK3YARolfUQAPcySE,33.7862331,-118.3171601,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6110,1,A OAKWOOD AVE LA CANADA 91011,4703 A Oakwood Ave La Canada Flintridge 91011,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"4703 A, Oakwood Avenue, La Cañada Flintridge, CA 91011, USA",4703 A | Oakwood Ave,La Cañada Flintridge,CA,91011,US,ChIJsU9ay-LpwoARny9Ki0DisAM,34.2047451,-118.1941236,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
6114,1,A PAINTER AVE WHITTIER 90605,12416 A Painter Ave Whittier 90605,PREMISE,PREMISE,PREMISE,,,True,FIX,,administrative_area_level_1:CA,,,,"12416 A, Painter Avenue, Whittier, CA 90605, USA",12416 A | Painter Ave,Whittier,CA,90605,US,ChIJ70sNITDTwoARUehG0TBaRuY,33.9187216,-118.0534681,200,possibleNextAction_not_ACCEPT,representative_addresses_validation_results_one_per_group__89127rows.csv
