OBJIDstr,AIN,NumPrefix,Number,NumSuffix,PreMod,PreDir,PreType,StArticle,StreetName,PostType,PostDir,PostMod,BldgID,BldgSource,BldgTypePl,BldgType,BldgName,FlrTypePl,FlrType,FlrName,UnitType,UnitName,ZipCode,Zip4,LegalComm,PostComm1,PostComm2,PostComm3,OtherComm1,OtherComm2,Source,SourceID,MADRank,AROIDstr,OIDstr,PropType,ObjID,PreDirAbbr,PostDirAbbr,PreTypeAbbr,PostTypeAbbr,FullName,UpdateDate,FullAddress,UniqueID,StName_EnerGov,FullAddress_EnerGov,MSAG_City,ESN,geometry_wkt,_has_u_pattern
,2802054003,,28601.0,U,,,,,Plume,Way,,,,,,,,,,,,,91350,,Santa Clarita,Santa Clarita,,,,,LACO DPW Add,{322038A7-CFC5-4BF8-8227-7EE5B1A35FA6},0.0,,322038A7-CFC5-4BF8-8227-7EE5B1A35FA6,Utility,,,,,Wy,Plume Wy,2024-07-17 18:16:05+00:00,28601 U Plume Wy Santa Clarita 91350,322038A7-CFC5-4BF8-8227-7EE5B1A35FA6_28601_U_Plume_Wy_Santa_Clarita_91350,Plume,28601 U Plume Way Wy Santa Clarita 91350,,,POINT (6424955.612567 1982581.638131),True
,2812005004,,29184.0,U,,,,,Bouquet Canyon,Road,,,,,,,,,,,,,91390,,Unincorporated,Santa Clarita,Agua Dulce,,,,CAMS,{BB8A1A9E-2FA6-4D29-AD6C-4DE7E4BE4D1B},0.0,,BB8A1A9E-2FA6-4D29-AD6C-4DE7E4BE4D1B,Utility,,,,,Rd,Bouquet Canyon Rd,2024-07-17 18:16:05+00:00,29184 U Bouquet Canyon Rd Santa Clarita 91390,BB8A1A9E-2FA6-4D29-AD6C-4DE7E4BE4D1B_29184_U_Bouquet_Canyon_Rd_Santa_Clarita_91390,Bouquet Canyon,29184 U Bouquet Canyon Road Rd Santa Clarita 91390,,,POINT (6418261.957319 1992300.590478),True
,2812005030,,19893.0,U,,,,,Bouquet Canyon,Road,,,,,,,,,,,,,91390,,Unincorporated,Santa Clarita,Agua Dulce,,,,LACO DPW House Numbering Map,{6BF64373-5448-4C52-A1A9-9A584D44E1F1},0.0,,6BF64373-5448-4C52-A1A9-9A584D44E1F1,Unknown,,,,,Rd,Bouquet Canyon Rd,2024-07-17 18:16:05+00:00,19893 U Bouquet Canyon Rd Santa Clarita 91390,6BF64373-5448-4C52-A1A9-9A584D44E1F1_19893_U_Bouquet_Canyon_Rd_Santa_Clarita_91390,Bouquet Canyon,19893 U Bouquet Canyon Road Rd Santa Clarita 91390,,,POINT (6415904.627388 1992202.881028),True
,2812005030,,19893.0,U,,,,,Blue Cloud,Road,,,,,,,,,,,,,91390,,Unincorporated,Santa Clarita,Agua Dulce,,,,LACO DPW Add,{360BEC02-B57C-4A8A-A9B1-A0730C8AADC3},0.0,,360BEC02-B57C-4A8A-A9B1-A0730C8AADC3,Utility,,,,,Rd,Blue Cloud Rd,2024-07-17 18:16:05+00:00,19893 U Blue Cloud Rd Santa Clarita 91390,360BEC02-B57C-4A8A-A9B1-A0730C8AADC3_19893_U_Blue_Cloud_Rd_Santa_Clarita_91390,Blue Cloud,19893 U Blue Cloud Road Rd Santa Clarita 91390,,,POINT (6415657.227948 1992107.816257),True
,2812009115,,28306.0,U,,,,,Stansfield,Lane,,,,,,,,,,,,,91350,,Santa Clarita,Santa Clarita,,,,,LACO DPW Add,{8B98834A-248E-41B8-A80F-B570164DC77B},0.0,,8B98834A-248E-41B8-A80F-B570164DC77B,Utility,,,,,Ln,Stansfield Ln,2024-07-17 18:16:05+00:00,28306 U Stansfield Ln Santa Clarita 91350,8B98834A-248E-41B8-A80F-B570164DC77B_28306_U_Stansfield_Ln_Santa_Clarita_91350,Stansfield,28306 U Stansfield Lane Ln Santa Clarita 91350,,,POINT (6416791.035064 1983483.561524),True
,2812076014,,28447.0,U,,North,,,Whites Canyon,Road,,,,,,,,,,,,,91350,,Santa Clarita,Santa Clarita,,,,,LACO DPW Add,{75441485-158B-403F-A462-96F7D763679C},0.0,,75441485-158B-403F-A462-96F7D763679C,Utility,,N,,,Rd,N Whites Canyon Rd,2024-07-17 18:16:05+00:00,28447 U N Whites Canyon Rd Santa Clarita 91350,75441485-158B-403F-A462-96F7D763679C_28447_U_N_Whites_Canyon_Rd_Santa_Clarita_91350,Whites Canyon,28447 U N Whites Canyon Road Rd Santa Clarita 91350,,,POINT (6418983.40896 1983589.32542),True
,2812076025,,28365.0,U,,,,,Lorita,Lane,,,,,,,,,,,,,91350,,Santa Clarita,Santa Clarita,,,,,LACO DPW Add,{B2E0C28A-2965-4B7C-95BE-C99D2A17593A},0.0,,B2E0C28A-2965-4B7C-95BE-C99D2A17593A,Utility,,,,,Ln,Lorita Ln,2024-07-17 18:16:05+00:00,28365 U Lorita Ln Santa Clarita 91350,B2E0C28A-2965-4B7C-95BE-C99D2A17593A_28365_U_Lorita_Ln_Santa_Clarita_91350,Lorita,28365 U Lorita Lane Ln Santa Clarita 91350,,,POINT (6418144.510375 1983824.742928),True
,2812078001,,28507.0,U,,,,,Mariel,Way,,,,,,,,,,,,,91350,,Santa Clarita,Santa Clarita,,,,,CAMS,{C40E4846-B485-4CC9-8687-77F623D9CD57},0.0,,C40E4846-B485-4CC9-8687-77F623D9CD57,Utility,,,,,Wy,Mariel Wy,2024-07-17 18:16:05+00:00,28507 U Mariel Wy Santa Clarita 91350,C40E4846-B485-4CC9-8687-77F623D9CD57_28507_U_Mariel_Wy_Santa_Clarita_91350,Mariel,28507 U Mariel Way Wy Santa Clarita 91350,,,POINT (6416710.364294 1985365.21721),True
,2812080002,,19611.0,U,,,,,Castille,Lane,,,,,,,,,,,,,91350,,Santa Clarita,Santa Clarita,,,,,LACO DPW Add,{17CB7AC1-B02F-4B0B-86F6-7E033B57E9FB},0.0,,17CB7AC1-B02F-4B0B-86F6-7E033B57E9FB,Utility,,,,,Ln,Castille Ln,2024-07-17 18:16:05+00:00,19611 U Castille Ln Santa Clarita 91350,17CB7AC1-B02F-4B0B-86F6-7E033B57E9FB_19611_U_Castille_Ln_Santa_Clarita_91350,Castille,19611 U Castille Lane Ln Santa Clarita 91350,,,POINT (6417169.791852 1985835.549274),True
,2812080014,,28551.0,U,,,,,Ives,Court,,,,,,,,,,,,,91350,,Santa Clarita,Santa Clarita,,,,,LACO DPW Add,{CAAE63AD-8128-4408-A4B9-7546A1C853F7},0.0,,CAAE63AD-8128-4408-A4B9-7546A1C853F7,Utility,,,,,Ct,Ives Ct,2024-07-17 18:16:05+00:00,28551 U Ives Ct Santa Clarita 91350,CAAE63AD-8128-4408-A4B9-7546A1C853F7_28551_U_Ives_Ct_Santa_Clarita_91350,Ives,28551 U Ives Court Ct Santa Clarita 91350,,,POINT (6417580.78086 1985744.631149),True
,2812083001,,19403.0,U,,,,,Plum Canyon,Road,,,,,,,,,,,,,91350,,Santa Clarita,Santa Clarita,,,,,LACO DPW Add,{F1088E7D-A33D-4617-8322-94D77A496A58},0.0,,F1088E7D-A33D-4617-8322-94D77A496A58,Utility,,,,,Rd,Plum Canyon Rd,2024-07-17 18:16:05+00:00,19403 U Plum Canyon Rd Santa Clarita 91350,F1088E7D-A33D-4617-8322-94D77A496A58_19403_U_Plum_Canyon_Rd_Santa_Clarita_91350,Plum Canyon,19403 U Plum Canyon Road Rd Santa Clarita 91350,,,POINT (6418482.464096 1985191.070248),True
,2812083001,,19401.0,U,,,,,Plum Canyon,Road,,,,,,,,,,,,,91350,,Santa Clarita,Santa Clarita,,,,,LACO DPW Add,{A6668C51-836C-48BA-81AF-4F347A782B51},0.0,,A6668C51-836C-48BA-81AF-4F347A782B51,Utility,,,,,Rd,Plum Canyon Rd,2024-07-17 18:16:05+00:00,19401 U Plum Canyon Rd Santa Clarita 91350,A6668C51-836C-48BA-81AF-4F347A782B51_19401_U_Plum_Canyon_Rd_Santa_Clarita_91350,Plum Canyon,19401 U Plum Canyon Road Rd Santa Clarita 91350,,,POINT (6418495.339398 1985183.988569),True
